VARIABLE,DESCRIPTION,SUM,AVERAGE,MAXIMUM,MINIMUM,ZERO_RECS
"CRMA3PERC","Personal Crime",3080794,96.1636233105472,1133,0,42
"CRMA3MURD","Murder",2639025,82.3742859818335,1570,0,42
"CRMA3RAPE","Rape",4162826,129.938071604707,2028,0,42
"CRMA3ROBB","Robbery",1759289,54.9142866061117,1324,0,42
"CRMA3ASST","Assault",3351381,104.609701282892,1216,0,42
"CRMA3PROC","Property Crime",2449261,76.4510097699535,855,0,42
"CRMA3BURG","Burglary",2682610,83.7347442020164,782,0,42
"CRMA3LARC","Larceny",2442437,76.2380060554983,924,0,42
"CRMA3MVEH","Motor Vehicle Theft",2147770,67.0402971564129,1215,0,42
"CRMA3TOTC","Total Crime",2544041,79.4094640571839,875,0,42
