VARIABLE,DESCRIPTION,SUM,AVERAGE,MAXIMUM,MINIMUM,ZERO_RECS
"CRMA4PERC","Personal Crime",31021389,968.29881075007,908062,0,442
"CRMA4MURD","Murder",30843375,962.742297967974,892768,0,464
"CRMA4RAPE","Rape",31012348,968.016605799544,900269,0,461
"CRMA4ROBB","Robbery",31028107,968.50850579018,921872,0,492
"CRMA4ASST","Assault",31066074,969.693604270063,922302,0,461
"CRMA4PROC","Property Crime",31112483,971.14221056903,932880,0,480
"CRMA4BURG","Burglary",31090088,970.443175078815,928396,0,479
"CRMA4LARC","Larceny",31183200,973.34956456597,906103,0,512
"CRMA4MVEH","Motor Vehicle Theft",31167241,972.851421793551,916323,0,477
"CRMA4TOTC","Total Crime",31192421,973.637388020102,915618,0,443
