SEQ,VARIABLE,DESCRIPTION,VINTAGE,UNIT,TYPE,AGGREGATION_TYPE,WEIGHT_FIELD,UNIVERSE,MEDIAN_UBOUND,NATIVE_GEO
2,NAME,Geographic Area Name,,String,,,,,,
3,POPCY,Population,2025,Persons,Numeric,Sum,,,,Census Block
4,AGECY0004,Population age 0-4,2025,Persons,Numeric,Sum,,POPCY,4,Census Block
5,AGECY0509,Population age 5-9,2025,Persons,Numeric,Sum,,POPCY,9,Census Block
6,AGECY1014,Population age 10-14,2025,Persons,Numeric,Sum,,POPCY,14,Census Block
7,AGECY1519,Population age 15-19,2025,Persons,Numeric,Sum,,POPCY,19,Census Block
8,AGECY2024,Population age 20-24,2025,Persons,Numeric,Sum,,POPCY,24,Census Block
9,AGECY2529,Population age 25-29,2025,Persons,Numeric,Sum,,POPCY,29,Census Block
10,AGECY3034,Population age 30-34,2025,Persons,Numeric,Sum,,POPCY,34,Census Block
11,AGECY3539,Population age 35-39,2025,Persons,Numeric,Sum,,POPCY,39,Census Block
12,AGECY4044,Population age 40-44,2025,Persons,Numeric,Sum,,POPCY,44,Census Block
13,AGECY4549,Population age 45-49,2025,Persons,Numeric,Sum,,POPCY,49,Census Block
14,AGECY5054,Population age 50-54,2025,Persons,Numeric,Sum,,POPCY,54,Census Block
15,AGECY5559,Population age 55-59,2025,Persons,Numeric,Sum,,POPCY,59,Census Block
16,AGECY6064,Population age 60-64,2025,Persons,Numeric,Sum,,POPCY,64,Census Block
17,AGECY6569,Population age 65-69,2025,Persons,Numeric,Sum,,POPCY,69,Census Block
18,AGECY7074,Population age 70-74,2025,Persons,Numeric,Sum,,POPCY,74,Census Block
19,AGECY7579,Population age 75-79,2025,Persons,Numeric,Sum,,POPCY,79,Census Block
20,AGECY8084,Population age 80-84,2025,Persons,Numeric,Sum,,POPCY,84,Census Block
21,AGECYGT85,Population age 85+,2025,Persons,Numeric,Sum,,POPCY,100,Census Block
22,AGECYM0004,Pop male < 5 yrs,2025,Persons,Numeric,Sum,,SEXCYMAL,4,Census Block
23,AGECYM0509,Pop male 5-9 yrs,2025,Persons,Numeric,Sum,,SEXCYMAL,9,Census Block
24,AGECYM1014,Pop male 10-14 yrs,2025,Persons,Numeric,Sum,,SEXCYMAL,14,Census Block
25,AGECYM1519,Pop male 15-19 yrs,2025,Persons,Numeric,Sum,,SEXCYMAL,19,Census Block
26,AGECYM2024,Pop male 20-24 yrs,2025,Persons,Numeric,Sum,,SEXCYMAL,24,Census Block
27,AGECYM2529,Pop male 25-29 yrs,2025,Persons,Numeric,Sum,,SEXCYMAL,29,Census Block
28,AGECYM3034,Pop male 30-34 yrs,2025,Persons,Numeric,Sum,,SEXCYMAL,34,Census Block
29,AGECYM3539,Pop male 35-39 yrs,2025,Persons,Numeric,Sum,,SEXCYMAL,39,Census Block
30,AGECYM4044,Pop male 40-44 yrs,2025,Persons,Numeric,Sum,,SEXCYMAL,44,Census Block
31,AGECYM4549,Pop male 45-49 yrs,2025,Persons,Numeric,Sum,,SEXCYMAL,49,Census Block
32,AGECYM5054,Pop male 50-54 yrs,2025,Persons,Numeric,Sum,,SEXCYMAL,54,Census Block
33,AGECYM5559,Pop male 55-59 yrs,2025,Persons,Numeric,Sum,,SEXCYMAL,59,Census Block
34,AGECYM6064,Pop male 60-64 yrs,2025,Persons,Numeric,Sum,,SEXCYMAL,64,Census Block
35,AGECYM6569,Pop male 65-69 yrs,2025,Persons,Numeric,Sum,,SEXCYMAL,69,Census Block
36,AGECYM7074,Pop male 70-74 yrs,2025,Persons,Numeric,Sum,,SEXCYMAL,74,Census Block
37,AGECYM7579,Pop male 75-79 yrs,2025,Persons,Numeric,Sum,,SEXCYMAL,79,Census Block
38,AGECYM8084,Pop male 80-84 yrs,2025,Persons,Numeric,Sum,,SEXCYMAL,84,Census Block
39,AGECYMGT85,Pop male 85+ yrs,2025,Persons,Numeric,Sum,,SEXCYMAL,100,Census Block
40,AGECYF0004,Pop female < 5 yrs,2025,Persons,Numeric,Sum,,SEXCYFEM,4,Census Block
41,AGECYF0509,Pop female 5-9 yrs,2025,Persons,Numeric,Sum,,SEXCYFEM,9,Census Block
42,AGECYF1014,Pop female 10-14 yrs,2025,Persons,Numeric,Sum,,SEXCYFEM,14,Census Block
43,AGECYF1519,Pop female 15-19 yrs,2025,Persons,Numeric,Sum,,SEXCYFEM,19,Census Block
