VARIABLE,DESCRIPTION,SUM,AVERAGE,MAXIMUM,MINIMUM,ZERO_RECS
"POPCY","Population",256639756.158447,8010.7299734197,8525034,0,42
"AGECY0004","Population age 0-4",14320049.3286612,446.984715443431,457073,0,43
"AGECY0509","Population age 5-9",15310412.0647959,477.897807684735,466655,0,48
"AGECY1014","Population age 10-14",15665735.8561965,488.988852145848,466635,0,49
"AGECY1519","Population age 15-19",17084288.389017,533.26742170044,459469,0,43
"AGECY2024","Population age 20-24",17918715.316481,559.313147812873,523503,0,42
"AGECY2529","Population age 25-29",18056895.6599198,563.626296467202,694070,0,43
"AGECY3034","Population age 30-34",19003285.7280581,593.166829854795,728116,0,43
"AGECY3539","Population age 35-39",17946981.594242,560.195448832351,639026,0,44
"AGECY4044","Population age 40-44",17004059.8132565,530.763174244047,553165,0,43
"AGECY4549","Population age 45-49",15195994.6946273,474.326394313678,506726,0,43
"AGECY5054","Population age 50-54",15095634.3304345,471.193755046807,510871,0,44
"AGECY5559","Population age 55-59",14772693.7562337,461.113517377834,512674,0,46
"AGECY6064","Population age 60-64",15277575.7612896,476.872858297893,510994,0,42
"AGECY6569","Population age 65-69",13889632.9791803,433.549738713998,457604,0,46
"AGECY7074","Population age 70-74",11360422.2526085,354.603185460825,374781,0,48
"AGECY7579","Population age 75-79",8564134.09049244,267.320101460575,287123,0,51
"AGECY8084","Population age 80-84",5303228.08520536,165.534478421992,183668,0,52
"AGECYGT85","Population age 85+",4869999.70774759,152.011727307413,192880,0,53
"AGECYM0004","Pop male < 5 yrs",7327938.65874538,228.733609849405,238194,0,48
"AGECYM0509","Pop male 5-9 yrs",7833580.34597035,244.516663419494,242158,0,56
"AGECYM1014","Pop male 10-14 yrs",8037648.6699989,250.886433498733,241659,0,54
"AGECYM1519","Pop male 15-19 yrs",9476134.97498501,295.787214002092,252767,0,44
"AGECYM2024","Pop male 20-24 yrs",9758838.28266187,304.611489298682,274541,0,43
"AGECYM2529","Pop male 25-29 yrs",9124825.33855089,284.821467008487,333872,0,45
"AGECYM3034","Pop male 30-34 yrs",9588509.53517985,299.294863288693,363000,0,47
"AGECYM3539","Pop male 35-39 yrs",9043020.23662756,282.26801000804,321638,0,52
"AGECYM4044","Pop male 40-44 yrs",8508798.85880562,265.592872578756,273902,0,44
"AGECYM4549","Pop male 45-49 yrs",7534649.68723738,235.185869065062,246243,0,46
"AGECYM5054","Pop male 50-54 yrs",7472095.70228075,233.233314676179,248369,0,49
"AGECYM5559","Pop male 55-59 yrs",7267204.06726602,226.837845842807,248550,0,46
"AGECYM6064","Pop male 60-64 yrs",7402123.19244765,231.049199127498,244365,0,44
"AGECYM6569","Pop male 65-69 yrs",6587203.0410923,205.612355747801,213222,0,48
"AGECYM7074","Pop male 70-74 yrs",5245601.87515203,163.735739150109,167963,0,58
"AGECYM7579","Pop male 75-79 yrs",3895547.46167138,121.595263653631,123112,0,56
"AGECYM8084","Pop male 80-84 yrs",2364293.10861961,73.7988297474672,75426,0,88
"AGECYMGT85","Pop male 85+ yrs",2241295.21288993,69.9595846330784,78957,0,163
"AGECYF0004","Pop female < 5 yrs",6992110.6699158,218.251105594026,218879,0,51
"AGECYF0509","Pop female 5-9 yrs",7476831.71882557,233.381144265242,224497,0,51
"AGECYF1014","Pop female 10-14 yrs",7628087.18619763,238.102418647115,224976,0,52
"AGECYF1519","Pop female 15-19 yrs",7608153.41403201,237.480207698349,206702,0,49
"AGECYF2024","Pop female 20-24 yrs",8159877.03381909,254.701658514189,248962,0,49
"AGECYF2529","Pop female 25-29 yrs",8932070.32136885,278.804829458715,360198,0,51
"AGECYF3034","Pop female 30-34 yrs",9414776.19287826,293.871966566104,365116,0,50
"AGECYF3539","Pop female 35-39 yrs",8903961.3576145,277.927438824312,317388,0,50
"AGECYF4044","Pop female 40-44 yrs",8495260.95445093,265.170301665291,279263,0,52
"AGECYF4549","Pop female 45-49 yrs",7661345.00738992,239.140525248616,260483,0,48
"AGECYF5054","Pop female 50-54 yrs",7623538.62815381,237.960440370628,262502,0,49
"AGECYF5559","Pop female 55-59 yrs",7505489.68896768,234.275671535028,264124,0,52
"AGECYF6064","Pop female 60-64 yrs",7875452.56884194,245.823659170395,266629,0,46
"AGECYF6569","Pop female 65-69 yrs",7302429.93808804,227.937382966196,244382,0,51
"AGECYF7074","Pop female 70-74 yrs",6114820.37745641,190.867446310716,206818,0,53
"AGECYF7579","Pop female 75-79 yrs",4668586.62882104,145.724837806943,164011,0,61
"AGECYF8084","Pop female 80-84 yrs",2938934.97658576,91.7356486745251,108242,0,81
"AGECYFGT85","Pop female 85+ yrs",2628704.49485766,82.0521426743347,113923,0,126
"AGECYMED","Median Age",1342777.75300353,41.9133424791187,81.2374429223744,0,42
"AGECYMEDM","Median Age Males",1315735.97792582,41.0692629748673,83.5114942528736,0,42
"AGECYMEDF","Median Age Females",1373477.42342265,42.8715991953882,79.7386363636364,0,43
"HISCYHISP","Population Hispanic",55944947.2562255,1746.26048806772,2162076,0,56
"HISCYNONH","Population Non-Hispanic",200694808.902222,6264.46948535198,6362958,0,42
"RACCYWHITE","Population white",148510550.694476,4635.59480271176,3006974,0,42
"RACCYBLACK","Population black",38171968.7420475,1191.4963555279,2332002,0,549
"RACCYAMIND","Population American Indian/Alaska Native",2190012.86052916,68.3588619573981,60202,0,2506
"RACCYASIAN","Population Asian",20009817.1830264,624.584611013092,1389290,0,1280
"RACCYHAWAI","Population Hawaiian/Pacific Islander",509605.937779486,15.9067933258259,22913,0,16134
"RACCYOTHER","Population other race",21778297.0987534,679.785782025577,1074281,0,376
"RACCYMULT","Population multirace",25469486.891835,795.002244025188,656929,0,44
"RCHCYWHNHS","Non Hispanic White",135271311.298468,4222.34639006362,2703747,0,42
"RCHCYBLNHS","Non Hispanic Black",36707957.2139384,1145.79883303488,2083056,0,633
"RCHCYAMNHS","Non Hispanic American Indian",953575.041050513,29.7648044776512,20731.4582912687,0,4005
"RCHCYASNHS","Non Hispanic Asian",19665368.3486546,613.833016470163,1377122,0,1369
"RCHCYHANHS","Non Hispanic Hawaiian/Pacific Islander",397908.111478803,12.4202675493586,22163,0,18508
"RCHCYOTNHS","Non Hispanic Other Race",622306.121336324,19.42460659039,42493,0,7061
"RCHCYMUNHS","Non Hispanic Multiple Race",7076370.01729482,220.881169188589,146353,0,135
"RCHCYWHHIS","Hispanic White",13239239.3960083,413.248412648135,308827.758330129,0,287
"RCHCYBLHIS","Hispanic Black",1464011.52810902,45.6975224930244,248946,0,13951
"RCHCYAMHIS","Hispanic American Indian",1236437.81947865,38.5940574797468,54462.0974004464,0,8549
"RCHCYASHIS","Hispanic Asian",344448.834371784,10.751594542928,12168,0,20149
"RCHCYHAHIS","Hispanic Hawaiian/Pacific Islander",111697.826300682,3.48652577646729,3408,0,21526
"RCHCYOTHIS","Hispanic Other Race",21155990.977417,660.361175435185,1031788,0,1382
"RCHCYMUHIS","Hispanic Multiple Race",18393116.8745402,574.121074836602,510576,0,440
"POPCYFAM","Population in Family Households",196891480.630057,6145.7527430801,6212961,0,42
"POPCYNFM","Population in Non-Family Households",52902069.7129346,1651.28038558337,2037711,0,46
"POPCYGRP","Population in Group Quarters",6846205.81545834,213.696844756324,274362,0,14544
"GRPCYCOLL","Group Quarters: College Housing",2726975.1160334,85.1195528930114,66803,0,30027
"GRPCYMIL","Group Quarters: Military Barracks",294552.502071987,9.19413497118916,17795,0,31722
"GRPCYOTHN","Group Quarters: Other Non-Institutional",1212786.94861662,37.8558213508325,141236,0,18941
"POPCYGT15","Population Age 15+",211343558.908793,6596.85859814569,7134671,0,42
"MARCYNEVER","Never Married",77597333.2228827,2422.1160914843,3108344,0,45
"MARCYMARR","Now Married",91097522.7668221,2843.50977828205,2563421,0,46
"MARCYSEP","Separated",9404541.61027603,293.552505236946,534147,0,299
"MARCYWIDOW","Widowed",11099448.9338753,346.457188059909,368149,0,85
"MARCYDIVOR","Divorced",22144712.3749376,691.223035082485,560610,0,48
"POPCYGT25","Population Age 25+",176340538.453296,5504.27750579942,6151698,0,42
"EDUCYLTGR9","Pop 25+ less than 9th grade",8874995.85321206,277.023312208136,542215,0,378
"EDUCYSHSCH","Pop 25+ 9th-12th grade no diploma",9962770.09383309,310.976998278025,436765,0,90
"EDUCYHSCH","Pop 25+ HS graduate",43517609.9696584,1358.35471391386,1376973,0,44
"EDUCYSCOLL","Pop 25+ college no diploma",33073299.9670461,1032.34697278291,795383,0,44
"EDUCYASSOC","Pop 25+ Associate degree",15043406.8156126,469.563530156149,393287,0,62
"EDUCYBACH","Pop 25+ Bachelor's degree",39588197.603052,1235.70239420208,1501824,0,44
"EDUCYGRAD","Pop 25+ graduate or prof school degree",26280258.1508815,820.309584258248,1105251,0,70
"LBFCYPOP16","Population Age 16+",208107598.855166,6495.85163577008,7048913,0,42
"LBFCYMPOP1","Male Population Age 16+",103825864.391358,3240.81107442515,3421081,0,42
"LBFCYFPOP1","Female Population Age 16+",104261353.936609,3254.40440542526,3627133,0,43
"LBFCYARM","Pop 16+ in Armed Forces",1123688.65238218,35.0747152474384,37896.9409189947,0,21674
"LBFCYEMPL","Pop 16+ civilian employed",128731372.921865,4018.20934924821,4355169,0,47
"LBFCYUNEM","Pop 16+ civilian unemployed",6446927.91635474,201.233820780808,262501,0,1675
"LBFCYNLF","Pop 16+ not in labor force",71805609.3645663,2241.33375049369,2427012,0,44
"LBFCYMARM","Pop male 16+ in Armed Forces",942071.796991045,29.4057432653196,31321.1689182908,0,22523
"LBFCYMEMPL","Pop male 16+ civilian employed",67931372.3856454,2120.40367030762,2225217,0,49
