VARIABLE,DESCRIPTION,SUM,AVERAGE,MAXIMUM,MINIMUM,ZERO_RECS
"POPCY","Population",256639620,8010.72572338234,8525034,0,42
"CRMCYTOTC","Total Crime",2180913,68.074819739676,1209,0,42
"CRMCYPERC","Personal Crime",2572926,80.3110778162749,716,0,42
"CRMCYMURD","Murder",2461749,76.8408090645191,1780,0,42
"CRMCYRAPE","Rape",3416847,106.653151044105,1837,0,42
"CRMCYROBB","Robbery",1232713,38.477791303805,1371,0,42
"CRMCYASST","Assault",2818033,87.9618253893935,856,0,42
"CRMCYPROC","Property Crime",2105432,65.7187626806505,1377,0,42
"CRMCYBURG","Burglary",2566977,80.1253862721228,1361,0,42
"CRMCYLARC","Larceny",2087882,65.1709585791429,1520,0,42
"CRMCYMVEH","Motor Vehicle Theft",1727713,53.9286762181228,1444,0,42
"POPPY","Population",257031234,8022.94952710928,8239001,0,42
"CRMPYTOTC","Total Crime",2102058,65.6134469519618,1208,0,42
"CRMPYPERC","Personal Crime",2510151,78.3516246839592,961,0,42
"CRMPYMURD","Murder",2548412,79.5459000530636,1845,0,42
"CRMPYRAPE","Rape",3200159,99.889471548522,1843,0,42
"CRMPYROBB","Robbery",1210769,37.7928332865125,1410,0,42
"CRMPYASST","Assault",2710937,84.6189405999313,1056,0,42
"CRMPYPROC","Property Crime",2020448,63.066079845179,1373,0,42
"CRMPYBURG","Burglary",2343781,73.1585666573025,1588,0,42
"CRMPYLARC","Larceny",2029586,63.35131254487,1474,0,42
"CRMPYMVEH","Motor Vehicle Theft",1732544,54.0794706121048,1430,0,42
