VARIABLE,DESCRIPTION,SUM,AVERAGE,MAXIMUM,MINIMUM,ZERO_RECS
"HHDCY","Households",99963128.3415776,3120.23998319373,3355446,0,42
"POPCY","Population",256639756.158447,8010.7299734197,8525034,0,42
"NRKWRSKI","Weather Risk Scale Index 0-10",49054.236457772,1.53117446882579,9.83334056399132,0,215
"NRKHURI","Hurricance Risk Scale Index 0-10",26091.2948439998,.814411300808434,10,0,9630
"NRKTORI","Tornado Risk Scale Index 0-10",50419.8990233788,1.57380213576111,9.96,0,1298
"NRKHAILI","Hail Risk Scale Index 0-10",23358.0272484563,.729095335033129,8.77,0,1692
"NRKWINDI","Wind Risk Scale Index 0-10",26737.4488005479,.834580291555012,9.95667316803442,0,147
"NRKWFRI","Wildfire Risk Scale Index 0-10",68183.3236469407,2.12826805402942,8.77,0,2657
"NRKQUKI","Quake Risk Scale Index 0-10",27386.9797753678,.854854692242338,9.63662249180075,0,42
"NRKSEALVLI","Sea Level Scale Index 0-10",2857.6299795707,.089197801903134,9.98560069481498,0,28868
"NRKSTMSGI","Storm Surge Risk Scale Index 0-10",4733.10412541507,.147738681069235,9.99364237644398,0,28249
"NRKTSNMI","Tsunami Risk Scale Index 0-10",6346.86041681338,.19811032296449,9.99831594192703,0,27547
"RSKCYQUAK","Quake Risk",2364509.95075887,73.8055982382518,836.310736848751,0,42
"RSKCYRISK","Weather Risk",2350792.48990505,73.3774226645769,455.519577079124,0,990
"RSKCYHUFQ","Hurricane Frequency",2438117.48955649,76.103177249945,600.583514099783,0,8697
"RSKCYHUAS","Hurricane Average Severity",2699469.40348115,84.2609920866856,231,0,8220
"RSKCYHUMS","Hurricane Maximum Severity",2635210.22289133,82.2552118766216,287,0,8234
"RSKCYHUNX","Hurricane Index",2299072.65011183,71.7630442960273,811.111352133044,0,8813
"RSKCYTOFQ","Tornado Frequency",2391279.83749976,74.6411910447219,636.918964597312,0,1392
"RSKCYTOAI","Tornado Average Intensity",3156422.78635571,98.524293359419,240.111891796944,0,721
"RSKCYTOFT","Tornado Fatalities",2558078.25070348,79.847621522099,960.789566133848,0,1076
"RSKCYTODM","Tornado Damage",2500391.61482212,78.0469961239232,386.534333154794,0,1122
"RSKCYTONX","Tornado Index",2496437.77569277,77.9235813494637,492,0,1310
"RSKCYHAFQ","Hail Frequency",2204609.77427136,68.8144886934282,807,0,1496
"RSKCYHAAS","Hail Average Severity",3379400.3479707,105.484294658386,283.560149617754,0,780
"RSKCYHAMS","Hail Maximum Severity",3496080.14090151,109.126327087477,497.538895589191,0,820
"RSKCYHANX","Hail Index",2243128.97870124,70.0168236320893,846,0,1699
"RSKCYWIFQ","Wind Frequency",2127482.42359706,66.4070425944083,564,0,1640
"RSKCYWIAS","Wind Average Severity",3173274.90808004,99.0503139519942,166.566893424036,0,999
"RSKCYWIMS","Wind Maximum Severity",3145804.00387394,98.1928396502151,238,0,1004
"RSKCYWINX","Wind Index",2123345.00869851,66.2778977026099,584,0,1802
"RSKCYWFRAW","Wildfire Risk Raw",7416689.07763867,231.503857341158,14090,0,2704
"RSKCYWFIRE","Wildfire Risk Severity Index",10446026.3254811,326.061314276652,920,0,2640
"TMPAVEANN","Average Annual Temperature",1731847.12477844,54.0577184124119,78.2519752976356,0,42
"TMPMAXANN","Average Annual High Temperature",2084982.6561481,65.0804587242283,90.3330053276676,0,42
"TMPMINANN","Average Annual Low Temperature",1378549.31216387,43.0299126685979,73.0947758857669,0,42
"TMPAVEJAN","Average January Temperature",1033884.48918182,32.2715762768619,73.4163140708082,-16.52,42
