VARIABLE,DESCRIPTION,SUM,AVERAGE,MAXIMUM,MINIMUM,ZERO_RECS
"CRMA3PERC","Personal Crime",3192367,78.3268395613024,1704,0,7937
"CRMA3MURD","Murder",2788399,68.4152170179356,2118,0,7937
"CRMA3RAPE","Rape",4296445,105.416124837451,2028,0,7937
"CRMA3ROBB","Robbery",2038688,50.0205608852467,1964,0,7937
"CRMA3ASST","Assault",3403609,83.5098019972029,1656,0,7937
"CRMA3PROC","Property Crime",2578020,63.2534288588463,1491,0,7937
"CRMA3BURG","Burglary",2728296,66.9405500895552,1245,0,7937
"CRMA3LARC","Larceny",2580361,63.3108668449591,1633,0,7937
"CRMA3MVEH","Motor Vehicle Theft",2340009,57.4136712711927,1652,0,7937
"CRMA3TOTC","Total Crime",2670204,65.5152243786343,1415,0,7937
