SEQ,VARIABLE,DESCRIPTION,VINTAGE,UNIT,TYPE,AGGREGATION_TYPE,WEIGHT_FIELD,UNIVERSE,MEDIAN_UBOUND,NATIVE_GEO
2,NAME,Geographic Area Name,,String,,,,,,
3,HINE3A2501,Householder Age 25-34 with Income Less than $10000,2023,Households,Numeric,Sum,,HAGE32534,9999,Block Group
4,HINE3A2502,Householder Age 25-34 with Income $10000 to $14999,2023,Households,Numeric,Sum,,HAGE32534,14999,Block Group
5,HINE3A2503,Householder Age 25-34 with Income $15000 to $19999,2023,Households,Numeric,Sum,,HAGE32534,19999,Block Group
6,HINE3A2504,Householder Age 25-34 with Income $20000 to $24999,2023,Households,Numeric,Sum,,HAGE32534,24999,Block Group
7,HINE3A2505,Householder Age 25-34 with Income $25000 to $29999,2023,Households,Numeric,Sum,,HAGE32534,29999,Block Group
8,HINE3A2506,Householder Age 25-34 with Income $30000 to $34999,2023,Households,Numeric,Sum,,HAGE32534,34999,Block Group
9,HINE3A2507,Householder Age 25-34 with Income $35000 to $39999,2023,Households,Numeric,Sum,,HAGE32534,39999,Block Group
10,HINE3A2508,Householder Age 25-34 with Income $40000 to $44999,2023,Households,Numeric,Sum,,HAGE32534,44999,Block Group
11,HINE3A2509,Householder Age 25-34 with Income $45000 to $49999,2023,Households,Numeric,Sum,,HAGE32534,49999,Block Group
12,HINE3A2510,Householder Age 25-34 with Income $50000 to $59999,2023,Households,Numeric,Sum,,HAGE32534,59999,Block Group
13,HINE3A2511,Householder Age 25-34 with Income $60000 to $74999,2023,Households,Numeric,Sum,,HAGE32534,74999,Block Group
14,HINE3A2512,Householder Age 25-34 with Income $75000 to $99999,2023,Households,Numeric,Sum,,HAGE32534,99999,Block Group
15,HINE3A2513,Householder Age 25-34 with Income $100000 to $124999,2023,Households,Numeric,Sum,,HAGE32534,124999,Block Group
16,HINE3A2514,Householder Age 25-34 with Income $125000 to $149999,2023,Households,Numeric,Sum,,HAGE32534,149999,Block Group
17,HINE3A2515,Householder Age 25-34 with Income $150000 to $199999,2023,Households,Numeric,Sum,,HAGE32534,199999,Block Group
18,HINE3A2516,Householder Age 25-34 with Income $200000 or more,2023,Households,Numeric,Sum,,HAGE32534,999999,Block Group
19,HINE3A3501,Householder Age 35-44 with Income Less than $10000,2023,Households,Numeric,Sum,,HAGE33544,9999,Block Group
20,HINE3A3502,Householder Age 35-44 with Income $10000 to $14999,2023,Households,Numeric,Sum,,HAGE33544,14999,Block Group
21,HINE3A3503,Householder Age 35-44 with Income $15000 to $19999,2023,Households,Numeric,Sum,,HAGE33544,19999,Block Group
22,HINE3A3504,Householder Age 35-44 with Income $20000 to $24999,2023,Households,Numeric,Sum,,HAGE33544,24999,Block Group
23,HINE3A3505,Householder Age 35-44 with Income $25000 to $29999,2023,Households,Numeric,Sum,,HAGE33544,29999,Block Group
24,HINE3A3506,Householder Age 35-44 with Income $30000 to $34999,2023,Households,Numeric,Sum,,HAGE33544,34999,Block Group
25,HINE3A3507,Householder Age 35-44 with Income $35000 to $39999,2023,Households,Numeric,Sum,,HAGE33544,39999,Block Group
26,HINE3A3508,Householder Age 35-44 with Income $40000 to $44999,2023,Households,Numeric,Sum,,HAGE33544,44999,Block Group
27,HINE3A3509,Householder Age 35-44 with Income $45000 to $49999,2023,Households,Numeric,Sum,,HAGE33544,49999,Block Group
28,HINE3A3510,Householder Age 35-44 with Income $50000 to $59999,2023,Households,Numeric,Sum,,HAGE33544,59999,Block Group
29,HINE3A3511,Householder Age 35-44 with Income $60000 to $74999,2023,Households,Numeric,Sum,,HAGE33544,74999,Block Group
30,HINE3A3512,Householder Age 35-44 with Income $75000 to $99999,2023,Households,Numeric,Sum,,HAGE33544,99999,Block Group
31,HINE3A3513,Householder Age 35-44 with Income $100000 to $124999,2023,Households,Numeric,Sum,,HAGE33544,124999,Block Group
32,HINE3A3514,Householder Age 35-44 with Income $125000 to $149999,2023,Households,Numeric,Sum,,HAGE33544,149999,Block Group
33,HINE3A3515,Householder Age 35-44 with Income $150000 to $199999,2023,Households,Numeric,Sum,,HAGE33544,199999,Block Group
34,HINE3A3516,Householder Age 35-44 with Income $200000 or more,2023,Households,Numeric,Sum,,HAGE33544,999999,Block Group
35,HINE3A4501,Householder Age 45-54 with Income Less than $10000,2023,Households,Numeric,Sum,,HAGE34554,9999,Block Group
36,HINE3A4502,Householder Age 45-54 with Income $10000 to $14999,2023,Households,Numeric,Sum,,HAGE34554,14999,Block Group
37,HINE3A4503,Householder Age 45-54 with Income $15000 to $19999,2023,Households,Numeric,Sum,,HAGE34554,19999,Block Group
38,HINE3A4504,Householder Age 45-54 with Income $20000 to $24999,2023,Households,Numeric,Sum,,HAGE34554,24999,Block Group
39,HINE3A4505,Householder Age 45-54 with Income $25000 to $29999,2023,Households,Numeric,Sum,,HAGE34554,29999,Block Group
40,HINE3A4506,Householder Age 45-54 with Income $30000 to $34999,2023,Households,Numeric,Sum,,HAGE34554,34999,Block Group
41,HINE3A4507,Householder Age 45-54 with Income $35000 to $39999,2023,Households,Numeric,Sum,,HAGE34554,39999,Block Group
42,HINE3A4508,Householder Age 45-54 with Income $40000 to $44999,2023,Households,Numeric,Sum,,HAGE34554,44999,Block Group
43,HINE3A4509,Householder Age 45-54 with Income $45000 to $49999,2023,Households,Numeric,Sum,,HAGE34554,49999,Block Group
44,HINE3A4510,Householder Age 45-54 with Income $50000 to $59999,2023,Households,Numeric,Sum,,HAGE34554,59999,Block Group
45,HINE3A4511,Householder Age 45-54 with Income $60000 to $74999,2023,Households,Numeric,Sum,,HAGE34554,74999,Block Group
46,HINE3A4512,Householder Age 45-54 with Income $75000 to $99999,2023,Households,Numeric,Sum,,HAGE34554,99999,Block Group
47,HINE3A4513,Householder Age 45-54 with Income $100000 to $124999,2023,Households,Numeric,Sum,,HAGE34554,124999,Block Group
48,HINE3A4514,Householder Age 45-54 with Income $125000 to $149999,2023,Households,Numeric,Sum,,HAGE34554,149999,Block Group
49,HINE3A4515,Householder Age 45-54 with Income $150000 to $199999,2023,Households,Numeric,Sum,,HAGE34554,199999,Block Group
50,HINE3A4516,Householder Age 45-54 with Income $200000 or more,2023,Households,Numeric,Sum,,HAGE34554,999999,Block Group
51,HINE3A5501,Householder Age 55-64 with Income Less than $10000,2023,Households,Numeric,Sum,,HAGE35564,9999,Block Group
52,HINE3A5502,Householder Age 55-64 with Income $10000 to $14999,2023,Households,Numeric,Sum,,HAGE35564,14999,Block Group
53,HINE3A5503,Householder Age 55-64 with Income $15000 to $19999,2023,Households,Numeric,Sum,,HAGE35564,19999,Block Group
54,HINE3A5504,Householder Age 55-64 with Income $20000 to $24999,2023,Households,Numeric,Sum,,HAGE35564,24999,Block Group
55,HINE3A5505,Householder Age 55-64 with Income $25000 to $29999,2023,Households,Numeric,Sum,,HAGE35564,29999,Block Group
56,HINE3A5506,Householder Age 55-64 with Income $30000 to $34999,2023,Households,Numeric,Sum,,HAGE35564,34999,Block Group
57,HINE3A5507,Householder Age 55-64 with Income $35000 to $39999,2023,Households,Numeric,Sum,,HAGE35564,39999,Block Group
58,HINE3A5508,Householder Age 55-64 with Income $40000 to $44999,2023,Households,Numeric,Sum,,HAGE35564,44999,Block Group
59,HINE3A5509,Householder Age 55-64 with Income $45000 to $49999,2023,Households,Numeric,Sum,,HAGE35564,49999,Block Group
60,HINE3A5510,Householder Age 55-64 with Income $50000 to $59999,2023,Households,Numeric,Sum,,HAGE35564,59999,Block Group
61,HINE3A5511,Householder Age 55-64 with Income $60000 to $74999,2023,Households,Numeric,Sum,,HAGE35564,74999,Block Group
62,HINE3A5512,Householder Age 55-64 with Income $75000 to $99999,2023,Households,Numeric,Sum,,HAGE35564,99999,Block Group
63,HINE3A5513,Householder Age 55-64 with Income $100000 to $124999,2023,Households,Numeric,Sum,,HAGE35564,124999,Block Group
64,HINE3A5514,Householder Age 55-64 with Income $125000 to $149999,2023,Households,Numeric,Sum,,HAGE35564,149999,Block Group
65,HINE3A5515,Householder Age 55-64 with Income $150000 to $199999,2023,Households,Numeric,Sum,,HAGE35564,199999,Block Group
66,HINE3A5516,Householder Age 55-64 with Income $200000 or more,2023,Households,Numeric,Sum,,HAGE35564,999999,Block Group
67,HINE3A6501,Householder Age 65-74 with Income Less than $10000,2023,Households,Numeric,Sum,,HAGE36574,9999,Block Group
68,HINE3A6502,Householder Age 65-74 with Income $10000 to $14999,2023,Households,Numeric,Sum,,HAGE36574,14999,Block Group
69,HINE3A6503,Householder Age 65-74 with Income $15000 to $19999,2023,Households,Numeric,Sum,,HAGE36574,19999,Block Group
70,HINE3A6504,Householder Age 65-74 with Income $20000 to $24999,2023,Households,Numeric,Sum,,HAGE36574,24999,Block Group
71,HINE3A6505,Householder Age 65-74 with Income $25000 to $29999,2023,Households,Numeric,Sum,,HAGE36574,29999,Block Group
72,HINE3A6506,Householder Age 65-74 with Income $30000 to $34999,2023,Households,Numeric,Sum,,HAGE36574,34999,Block Group
73,HINE3A6507,Householder Age 65-74 with Income $35000 to $39999,2023,Households,Numeric,Sum,,HAGE36574,39999,Block Group
74,HINE3A6508,Householder Age 65-74 with Income $40000 to $44999,2023,Households,Numeric,Sum,,HAGE36574,44999,Block Group
75,HINE3A6509,Householder Age 65-74 with Income $45000 to $49999,2023,Households,Numeric,Sum,,HAGE36574,49999,Block Group
76,HINE3A6510,Householder Age 65-74 with Income $50000 to $59999,2023,Households,Numeric,Sum,,HAGE36574,59999,Block Group
77,HINE3A6511,Householder Age 65-74 with Income $60000 to $74999,2023,Households,Numeric,Sum,,HAGE36574,74999,Block Group
78,HINE3A6512,Householder Age 65-74 with Income $75000 to $99999,2023,Households,Numeric,Sum,,HAGE36574,99999,Block Group
79,HINE3A6513,Householder Age 65-74 with Income $100000 to $124999,2023,Households,Numeric,Sum,,HAGE36574,124999,Block Group
80,HINE3A6514,Householder Age 65-74 with Income $125000 to $149999,2023,Households,Numeric,Sum,,HAGE36574,149999,Block Group
81,HINE3A6515,Householder Age 65-74 with Income $150000 to $199999,2023,Households,Numeric,Sum,,HAGE36574,199999,Block Group
82,HINE3A6516,Householder Age 65-74 with Income $200000 or more,2023,Households,Numeric,Sum,,HAGE36574,999999,Block Group
83,HINE3A7501,Householder Age 75+ with Income Less than $10000,2023,Households,Numeric,Sum,,HAGE3GT75,9999,Block Group
84,HINE3A7502,Householder Age 75+ with Income $10000 to $14999,2023,Households,Numeric,Sum,,HAGE3GT75,14999,Block Group
85,HINE3A7503,Householder Age 75+ with Income $15000 to $19999,2023,Households,Numeric,Sum,,HAGE3GT75,19999,Block Group
86,HINE3A7504,Householder Age 75+ with Income $20000 to $24999,2023,Households,Numeric,Sum,,HAGE3GT75,24999,Block Group
87,HINE3A7505,Householder Age 75+ with Income $25000 to $29999,2023,Households,Numeric,Sum,,HAGE3GT75,29999,Block Group
88,HINE3A7506,Householder Age 75+ with Income $30000 to $34999,2023,Households,Numeric,Sum,,HAGE3GT75,34999,Block Group
89,HINE3A7507,Householder Age 75+ with Income $35000 to $39999,2023,Households,Numeric,Sum,,HAGE3GT75,39999,Block Group
90,HINE3A7508,Householder Age 75+ with Income $40000 to $44999,2023,Households,Numeric,Sum,,HAGE3GT75,44999,Block Group
91,HINE3A7509,Householder Age 75+ with Income $45000 to $49999,2023,Households,Numeric,Sum,,HAGE3GT75,49999,Block Group
92,HINE3A7510,Householder Age 75+ with Income $50000 to $59999,2023,Households,Numeric,Sum,,HAGE3GT75,59999,Block Group
93,HINE3A7511,Householder Age 75+ with Income $60000 to $74999,2023,Households,Numeric,Sum,,HAGE3GT75,74999,Block Group
94,HINE3A7512,Householder Age 75+ with Income $75000 to $99999,2023,Households,Numeric,Sum,,HAGE3GT75,99999,Block Group
95,HINE3A7513,Householder Age 75+ with Income $100000 to $124999,2023,Households,Numeric,Sum,,HAGE3GT75,124999,Block Group
96,HINE3A7514,Householder Age 75+ with Income $125000 to $149999,2023,Households,Numeric,Sum,,HAGE3GT75,149999,Block Group
97,HINE3A7515,Householder Age 75+ with Income $150000 to $199999,2023,Households,Numeric,Sum,,HAGE3GT75,199999,Block Group
98,HINE3A7516,Householder Age 75+ with Income $200000 or more,2023,Households,Numeric,Sum,,HAGE3GT75,999999,Block Group
99,HINE3A2401,Householder Age <25 with Income Less than $10000,2023,Households,Numeric,Sum,,HAGE31524,9999,Block Group
100,HINE3A2402,Householder Age <25 with Income $10000 to $14999,2023,Households,Numeric,Sum,,HAGE31524,14999,Block Group
101,HINE3A2403,Householder Age <25 with Income $15000 to $19999,2023,Households,Numeric,Sum,,HAGE31524,19999,Block Group
102,HINE3A2404,Householder Age <25 with Income $20000 to $24999,2023,Households,Numeric,Sum,,HAGE31524,24999,Block Group
103,HINE3A2405,Householder Age <25 with Income $25000 to $29999,2023,Households,Numeric,Sum,,HAGE31524,29999,Block Group
104,HINE3A2406,Householder Age <25 with Income $30000 to $34999,2023,Households,Numeric,Sum,,HAGE31524,34999,Block Group
105,HINE3A2407,Householder Age <25 with Income $35000 to $39999,2023,Households,Numeric,Sum,,HAGE31524,39999,Block Group
106,HINE3A2408,Householder Age <25 with Income $40000 to $44999,2023,Households,Numeric,Sum,,HAGE31524,44999,Block Group
107,HINE3A2409,Householder Age <25 with Income $45000 to $49999,2023,Households,Numeric,Sum,,HAGE31524,49999,Block Group
108,HINE3A2410,Householder Age <25 with Income $50000 to $59999,2023,Households,Numeric,Sum,,HAGE31524,59999,Block Group
109,HINE3A2411,Householder Age <25 with Income $60000 to $74999,2023,Households,Numeric,Sum,,HAGE31524,74999,Block Group
110,HINE3A2412,Householder Age <25 with Income $75000 to $99999,2023,Households,Numeric,Sum,,HAGE31524,99999,Block Group
111,HINE3A2413,Householder Age <25 with Income $100000 to $124999,2023,Households,Numeric,Sum,,HAGE31524,124999,Block Group
112,HINE3A2414,Householder Age <25 with Income $125000 to $149999,2023,Households,Numeric,Sum,,HAGE31524,149999,Block Group
113,HINE3A2415,Householder Age <25 with Income $150000 to $199999,2023,Households,Numeric,Sum,,HAGE31524,199999,Block Group
114,HINE3A2416,Householder Age <25 with Income $200000 or more,2023,Households,Numeric,Sum,,HAGE31524,999999,Block Group
115,HINE3MED24,Median Income Age <25,2023,Dollars,Numeric,Median,,,,Block Group
116,HINE3MED25,Median Income Age 25-34,2023,Dollars,Numeric,Median,,,,Block Group
117,HINE3MED35,Median Income Age 35-44,2023,Dollars,Numeric,Median,,,,Block Group
118,HINE3MED45,Median Income Age 45-54,2023,Dollars,Numeric,Median,,,,Block Group
119,HINE3MED55,Median Income Age 55-64,2023,Dollars,Numeric,Median,,,,Block Group
120,HINE3MED65,Median Income Age 65-74,2023,Dollars,Numeric,Median,,,,Block Group
121,HINE3MED75,Median Income Age 75+,2023,Dollars,Numeric,Median,,,,Block Group
122,HINE3M2544,Median Income Age 25-44,2023,Dollars,Numeric,Median,,,,Block Group
123,HINE3M4564,Median Income Age 45-64,2023,Dollars,Numeric,Median,,,,Block Group
124,HINE3MGT65,Median Income Age 65+,2023,Dollars,Numeric,Median,,,,Block Group
125,INCX3A,Ratio of income to poverty under 0.50,2023,Persons,Numeric,Sum,,POPE3,0,Block Group
126,INCX3BC,Ratio of income to poverty 0.50 - 0.99,2023,Persons,Numeric,Sum,,POPE3,1,Block Group
127,INCX3D,Ratio of income to poverty 1.00 - 1.24,2023,Persons,Numeric,Sum,,POPE3,1,Block Group
128,INCX3E,Ratio of income to poverty 1.25 - 1.49,2023,Persons,Numeric,Sum,,POPE3,2,Block Group
129,INCX3FG,Ratio of income to poverty 1.50 - 1.74,2023,Persons,Numeric,Sum,,POPE3,2,Block Group
130,INCX3H,Ratio of income to poverty 1.75 - 1.99,2023,Persons,Numeric,Sum,,POPE3,2,Block Group
131,INCX3I,Ratio of income to poverty over 2.00,2023,Persons,Numeric,Sum,,POPE3,10,Block Group
132,POVX3MED,Median Ratio of Income to Poverty,2023,Ratio,Numeric,Sum,,,,Block Group
133,POVX3UNDER,Percent Population Below Poverty Level,2023,Ratio,Numeric,Sum,,POPE3,,Block Group
134,RNTX301,Cash Rent: Less than $100,2023,Dwellings,Numeric,Sum,,DWLE3RENT,99,Block Group
135,RNTX302,Cash Rent: $100 to $149,2023,Dwellings,Numeric,Sum,,DWLE3RENT,149,Block Group
136,RNTX303,Cash Rent: $150 to $199,2023,Dwellings,Numeric,Sum,,DWLE3RENT,199,Block Group
137,RNTX304,Cash Rent: $200 to $249,2023,Dwellings,Numeric,Sum,,DWLE3RENT,249,Block Group
138,RNTX305,Cash Rent: $250 to $299,2023,Dwellings,Numeric,Sum,,DWLE3RENT,299,Block Group
139,RNTX306,Cash Rent: $300 to $349,2023,Dwellings,Numeric,Sum,,DWLE3RENT,349,Block Group
140,RNTX307,Cash Rent: $350 to $399,2023,Dwellings,Numeric,Sum,,DWLE3RENT,399,Block Group
141,RNTX308,Cash Rent: $400 to $449,2023,Dwellings,Numeric,Sum,,DWLE3RENT,449,Block Group
142,RNTX309,Cash Rent: $450 to $499,2023,Dwellings,Numeric,Sum,,DWLE3RENT,499,Block Group
