VARIABLE,DESCRIPTION,SUM,AVERAGE,MAXIMUM,MINIMUM,ZERO_RECS
"HINE3A2501","Householder Age 25-34 with Income Less than $10000",972718.946902448,23.8663038717876,1243.12869980931,0,9670
"HINE3A2502","Householder Age 25-34 with Income $10000 to $14999",461289.970006091,11.3180550581763,509.470299638808,0,11257
"HINE3A2503","Householder Age 25-34 with Income $15000 to $19999",422842.993892756,10.3747330248241,317.922700002789,0,11193
"HINE3A2504","Householder Age 25-34 with Income $20000 to $24999",505920.961376899,12.4131060033098,419.527599954046,0,10422
"HINE3A2505","Householder Age 25-34 with Income $25000 to $29999",572114.009608432,14.037196300229,452.91449958086,0,10013
"HINE3A2506","Householder Age 25-34 with Income $30000 to $34999",741576.985603547,18.1950826999913,570.586799830198,0,9551
"HINE3A2507","Householder Age 25-34 with Income $35000 to $39999",646614.960068053,15.8651264830103,462.851501062512,0,9679
"HINE3A2508","Householder Age 25-34 with Income $40000 to $44999",764367.980513648,18.754274861095,542.765000611544,0,9460
"HINE3A2509","Householder Age 25-34 with Income $45000 to $49999",668202.003700369,16.3947789017928,420.757100373506,0,9634
"HINE3A2510","Householder Age 25-34 with Income $50000 to $59999",1388249.97503868,34.0616329719724,976.764100592583,0,8535
"HINE3A2511","Householder Age 25-34 with Income $60000 to $74999",2051670.98087772,50.3391069234174,1276.13290075958,0,8272
"HINE3A2512","Householder Age 25-34 with Income $75000 to $99999",2997003.87154016,73.5334757597507,1936.45760158314,0,8169
"HINE3A2513","Householder Age 25-34 with Income $100000 to $124999",2183430.95239952,53.5719251269604,1430.82419888815,0,8385
"HINE3A2514","Householder Age 25-34 with Income $125000 to $149999",1544089.95648778,37.8852701741488,1084.99090149975,0,8887
"HINE3A2515","Householder Age 25-34 with Income $150000 to $199999",1692027.02944256,41.5150042800639,1861.75829948904,0,9226
"HINE3A2516","Householder Age 25-34 with Income $200000 or more",1818909.03385111,44.6281383284125,5151.2183848992,0,10093
"HINE3A3501","Householder Age 35-44 with Income Less than $10000",956270.947388469,23.462741305505,1038.63700048998,0,9288
"HINE3A3502","Householder Age 35-44 with Income $10000 to $14999",526449.960023186,12.9167985873147,550.89380133152,0,10218
"HINE3A3503","Householder Age 35-44 with Income $15000 to $19999",465949.986000776,11.4323916382652,327.57849894464,0,10201
"HINE3A3504","Householder Age 35-44 with Income $20000 to $24999",538205.94018479,13.2052393499225,472.010499811033,0,9776
"HINE3A3505","Householder Age 35-44 with Income $25000 to $29999",597298.009015207,14.6551024122288,449.938299715519,0,9591
"HINE3A3506","Householder Age 35-44 with Income $30000 to $34999",732090.968011901,17.9623369730819,535.638099789619,0,9367
"HINE3A3507","Householder Age 35-44 with Income $35000 to $39999",628158.971991813,15.4122965868885,408.020399659872,0,9544
"HINE3A3508","Householder Age 35-44 with Income $40000 to $44999",761004.97622838,18.6717613226778,412.357000678778,0,9270
"HINE3A3509","Householder Age 35-44 with Income $45000 to $49999",656658.983208359,16.1115632457825,378.879599779844,0,9496
"HINE3A3510","Householder Age 35-44 with Income $50000 to $59999",1348365.96456715,33.0830523484838,854.401601076126,0,8482
"HINE3A3511","Householder Age 35-44 with Income $60000 to $74999",2036886.99912857,49.9763721355489,1187.86899980123,0,8246
"HINE3A3512","Householder Age 35-44 with Income $75000 to $99999",3039951.89161912,74.5872338891262,1815.45020088843,0,8171
"HINE3A3513","Householder Age 35-44 with Income $100000 to $124999",2453070.94675464,60.187721048032,1583.80120041739,0,8319
"HINE3A3514","Householder Age 35-44 with Income $125000 to $149999",1935237.90422974,47.4823442409829,1542.97690439597,0,8692
"HINE3A3515","Householder Age 35-44 with Income $150000 to $199999",2507210.98179275,61.5160826800979,2755.82510424033,0,8867
"HINE3A3516","Householder Age 35-44 with Income $200000 or more",3487484.92661935,85.5677534317871,4678.19420354441,0,9696
"HINE3A4501","Householder Age 45-54 with Income Less than $10000",893263.938679227,21.9168225992891,1040.79040047899,0,9434
"HINE3A4502","Householder Age 45-54 with Income $10000 to $14999",523897.965110858,12.8541837012258,440.697401031852,0,10530
"HINE3A4503","Householder Age 45-54 with Income $15000 to $19999",433642.981895809,10.6397178863952,325.000200117007,0,10627
"HINE3A4504","Householder Age 45-54 with Income $20000 to $24999",450476.93248916,11.0527500181358,469.824499890907,0,10244
"HINE3A4505","Householder Age 45-54 with Income $25000 to $29999",493611.99410604,12.1110973355752,306.647999763489,0,9953
"HINE3A4506","Householder Age 45-54 with Income $30000 to $34999",581521.952816729,14.2680264204119,405.619199872017,0,9616
"HINE3A4507","Householder Age 45-54 with Income $35000 to $39999",529820.972488041,12.9995086117242,308.86740000546,0,9609
"HINE3A4508","Householder Age 45-54 with Income $40000 to $44999",610587.953029175,14.9811799943366,366.427700463682,0,9491
"HINE3A4509","Householder Age 45-54 with Income $45000 to $49999",554266.965015588,13.5993072359494,303.094899773598,0,9558
"HINE3A4510","Householder Age 45-54 with Income $50000 to $59999",1134998.92306794,27.8479506113782,637.488299989025,0,8528
"HINE3A4511","Householder Age 45-54 with Income $60000 to $74999",1727566.02444111,42.3869770699785,844.75910054514,0,8269
"HINE3A4512","Householder Age 45-54 with Income $75000 to $99999",2699664.80371372,66.2380647180538,1353.95310263429,0,8168
"HINE3A4513","Householder Age 45-54 with Income $100000 to $124999",2359635.84398558,57.8952288928424,1317.68330026168,0,8308
"HINE3A4514","Householder Age 45-54 with Income $125000 to $149999",1988074.87082727,48.7787342254649,1134.90230258182,0,8617
"HINE3A4515","Householder Age 45-54 with Income $150000 to $199999",2784312.00711676,68.3149399395628,2281.50560289808,0,8764
"HINE3A4516","Householder Age 45-54 with Income $200000 or more",4355984.87012021,106.876975001109,4207.75480138138,0,9632
"HINE3A5501","Householder Age 55-64 with Income Less than $10000",1316036.91586891,32.2898377179112,1288.01870059594,0,8816
"HINE3A5502","Householder Age 55-64 with Income $10000 to $14999",957837.925331766,23.5011881476008,814.378001764417,0,9351
"HINE3A5503","Householder Age 55-64 with Income $15000 to $19999",751141.975309492,18.4297660600508,451.623198702931,0,9247
"HINE3A5504","Householder Age 55-64 with Income $20000 to $24999",680353.874785994,16.692933110533,464.858199924463,0,9218
"HINE3A5505","Householder Age 55-64 with Income $25000 to $29999",723438.017816856,17.7500311067266,308.284100379795,0,9100
"HINE3A5506","Householder Age 55-64 with Income $30000 to $34999",796654.960423536,19.546457306071,346.898299694061,0,9007
"HINE3A5507","Householder Age 55-64 with Income $35000 to $39999",695513.961787452,17.0648958899686,280.174099862576,0,9051
"HINE3A5508","Householder Age 55-64 with Income $40000 to $44999",783383.930635386,19.2208437970259,352.089300602674,0,8928
"HINE3A5509","Householder Age 55-64 with Income $45000 to $49999",685946.954525744,16.8301630278417,291.379200378316,0,9045
"HINE3A5510","Householder Age 55-64 with Income $50000 to $59999",1376334.89388256,33.7692885610461,567.837797222659,0,8383
"HINE3A5511","Householder Age 55-64 with Income $60000 to $74999",1970792.02194662,48.354688076812,689.155899410136,0,8230
"HINE3A5512","Householder Age 55-64 with Income $75000 to $99999",2976114.7825259,73.0209481199769,1361.69669526955,0,8151
"HINE3A5513","Householder Age 55-64 with Income $100000 to $124999",2396929.83659014,58.8102617118565,879.099402794614,0,8283
"HINE3A5514","Householder Age 55-64 with Income $125000 to $149999",1894548.85092,46.4840113580488,751.821298379218,0,8606
"HINE3A5515","Householder Age 55-64 with Income $150000 to $199999",2499223.0227163,61.3200928114508,1259.31730089523,0,8843
"HINE3A5516","Householder Age 55-64 with Income $200000 or more",3970682.9581917,97.4233372964571,2653.90340570803,0,9639
"HINE3A6501","Householder Age 65-74 with Income Less than $10000",1096195.94220476,26.8958937656048,1120.75600068644,0,9027
