VARIABLE,DESCRIPTION,SUM,AVERAGE,MAXIMUM,MINIMUM,ZERO_RECS
"CRMA4PERC","Personal Crime",40681067,998.13693353289,25300,0,8426
"CRMA4MURD","Murder",40493995,993.546998061683,25352,0,8413
"CRMA4RAPE","Rape",40735066,999.461834776848,26057,0,8429
"CRMA4ROBB","Robbery",40732619,999.401796010501,29962,0,8445
"CRMA4ASST","Assault",40747642,999.770395269524,31763,0,8449
"CRMA4PROC","Property Crime",40780275,1000.57106754668,30464,0,8450
"CRMA4BURG","Burglary",40743131,999.659714895601,28268,0,8415
"CRMA4LARC","Larceny",40894096,1003.36374119783,28219,0,8448
"CRMA4MVEH","Motor Vehicle Theft",40815051,1001.42431974875,26901,0,8414
"CRMA4TOTC","Total Crime",40823329,1001.62742596364,44360,0,8418
