VARIABLE,DESCRIPTION,SUM,AVERAGE,MAXIMUM,MINIMUM,ZERO_RECS
"POPCY","Population",342021407.278321,8391.72184602205,153143.393262448,0,7937
"AGECY0004","Population age 0-4",18733470.8842451,459.638120672402,17993.3007937074,0,7962
"AGECY0509","Population age 5-9",20330035.4810788,498.810890916376,14259.9186935723,0,7971
"AGECY1014","Population age 10-14",21020439.3252812,515.750406685508,14696.6399118137,0,7977
"AGECY1519","Population age 15-19",22497409.6059495,551.988851140896,14302.3511549681,0,7948
"AGECY2024","Population age 20-24",22574626.6604129,553.883422735062,22893.3588457722,0,7944
"AGECY2529","Population age 25-29",22614978.9669454,554.873493312693,13609.7958264898,0,7943
"AGECY3034","Population age 30-34",24143033.529096,592.365324461959,13081.1567924868,0,7945
"AGECY3539","Population age 35-39",23297116.4093044,571.610187435396,12681.8354023769,0,7953
"AGECY4044","Population age 40-44",22482970.7767707,551.634584900035,15601.2601061389,0,7951
"AGECY4549","Population age 45-49",20394418.8794635,500.390580255257,13970.7778102998,0,7963
"AGECY5054","Population age 50-54",20588016.8478177,505.140634684047,10812.6110087987,0,7958
"AGECY5559","Population age 55-59",20459608.6548514,501.990054588202,7461.10160277225,0,7964
"AGECY6064","Population age 60-64",21404884.7505249,525.183029921851,7179.52010294041,0,7960
"AGECY6569","Population age 65-69",19585503.0542645,480.543294508047,6925.74977802578,0,7970
"AGECY7074","Population age 70-74",16030425.2250154,393.317104424158,10882.8525688178,0,7976
"AGECY7579","Population age 75-79",12050819.5012377,295.674841161952,12974.0348727945,0,7986
"AGECY8084","Population age 80-84",7345314.78151626,180.222165064069,8055.66548385238,0,7993
"AGECYGT85","Population age 85+",6468309.94444335,158.704270295737,5153.16259501874,0,8004
"AGECYM0004","Pop male < 5 yrs",9596070.92032056,235.445958248167,9255.63599678874,0,7973
"AGECYM0509","Pop male 5-9 yrs",10411077.7618686,255.44269111732,7292.76929679513,0,7983
"AGECYM1014","Pop male 10-14 yrs",10793123.5791377,264.816438382062,7526.68130684644,0,7988
"AGECYM1519","Pop male 15-19 yrs",12342634.9258692,302.834725957977,10877.6527991572,0,7952
"AGECYM2024","Pop male 20-24 yrs",12243323.8474972,300.398062848031,14799.6443938024,0,7947
"AGECYM2529","Pop male 25-29 yrs",11495777.0099742,282.056505875657,6579.19161263388,0,7950
"AGECYM3034","Pop male 30-34 yrs",12207688.6897334,299.523730640956,6683.70089598,0,7948
"AGECYM3539","Pop male 35-39 yrs",11754974.5619922,288.416089554978,5828.47889766755,0,7960
"AGECYM4044","Pop male 40-44 yrs",11286600.2531216,276.92421554878,7494.71680199727,0,7961
"AGECYM4549","Pop male 45-49 yrs",10157734.3091034,249.22674164201,7070.83600453101,0,7971
"AGECYM5054","Pop male 50-54 yrs",10235535.3603836,251.135641985024,5669.1268045865,0,7968
"AGECYM5559","Pop male 55-59 yrs",10113817.1833523,248.149205862853,3903.43810103834,0,7971
"AGECYM6064","Pop male 60-64 yrs",10443500.2890024,256.238199303247,3258.28869690001,0,7965
"AGECYM6569","Pop male 65-69 yrs",9392415.50903652,230.449137793177,3010.92480223626,0,7980
"AGECYM7074","Pop male 70-74 yrs",7518005.64109244,184.459249726242,4561.01998624485,0,7997
"AGECYM7579","Pop male 75-79 yrs",5578935.79320136,136.882886208538,5985.95158741902,0,8010
"AGECYM8084","Pop male 80-84 yrs",3331329.87179984,81.7363856957049,4065.62969131209,0,8041
"AGECYMGT85","Pop male 85+ yrs",2994427.99486432,73.4702749187703,2603.16149809677,0,8085
"AGECYF0004","Pop female < 5 yrs",9137399.96392451,224.192162424234,8737.66479691863,0,7995
"AGECYF0509","Pop female 5-9 yrs",9918957.71921013,243.368199799056,6967.14939677715,0,7993
"AGECYF1014","Pop female 10-14 yrs",10227315.7461434,250.933968303443,7169.95860496722,0,8008
"AGECYF1519","Pop female 15-19 yrs",10154774.6800803,249.15412518292,7331.19671287388,0,7973
"AGECYF2024","Pop female 20-24 yrs",10331302.8129157,253.485359887031,10511.4968948066,0,7966
"AGECYF2529","Pop female 25-29 yrs",11119201.9569713,272.816987437036,7030.60421385593,0,7971
"AGECYF3034","Pop female 30-34 yrs",11935344.8393628,292.841593821007,6493.03648414463,0,7971
"AGECYF3539","Pop female 35-39 yrs",11542141.8473122,283.194097880419,7031.58630180173,0,7983
"AGECYF4044","Pop female 40-44 yrs",11196370.5236491,274.710369351254,8106.54330414161,0,7991
"AGECYF4549","Pop female 45-49 yrs",10236684.5703601,251.163838613248,6899.94180576876,0,7996
"AGECYF5054","Pop female 50-54 yrs",10352481.487434,254.004992699021,5143.4842042122,0,7999
"AGECYF5559","Pop female 55-59 yrs",10345791.4714992,253.840848725351,3769.8420015635,0,8000
"AGECYF6064","Pop female 60-64 yrs",10961384.4615223,268.944830618601,3964.62260161777,0,8001
"AGECYF6569","Pop female 65-69 yrs",10193087.5452279,250.094156714868,4162.99628668651,0,8005
"AGECYF7074","Pop female 70-74 yrs",8512419.58392286,208.857854697914,6321.83258257294,0,8011
"AGECYF7579","Pop female 75-79 yrs",6471883.70803637,158.791954953416,6988.0832853755,0,8031
"AGECYF8084","Pop female 80-84 yrs",4013984.90971645,98.4857793683649,3990.03579254029,0,8048
"AGECYFGT85","Pop female 85+ yrs",3473881.94957902,85.2339953769663,3200.04059945047,0,8054
"AGECYMED","Median Age",1378328.91481229,33.8182131857666,73.1386447961042,0,7937
"AGECYMEDM","Median Age Males",1352372.95067941,33.1813664077191,76.5842075049607,0,7937
"AGECYMEDF","Median Age Females",1408248.38197141,34.5523071367228,72.4897064529064,0,7943
"HISCYHISP","Population Hispanic",65779980.5081026,1613.95540663205,85282.9194931611,0,7948
"HISCYNONH","Population Non-Hispanic",276241426.770215,6777.76643938992,117418.722347176,0,7937
"RACCYWHITE","Population white",212897016.775798,5223.56936908502,110784.851454124,0,7938
"RACCYBLACK","Population black",46880779.4169713,1150.25098552326,72593.2846248794,0,8118
"RACCYAMIND","Population American Indian/Alaska Native",2736569.1834877,67.143538128118,8503.77219577879,0,9066
"RACCYASIAN","Population Asian",22972622.9533655,563.648525489253,56455.9253478795,0,8445
"RACCYHAWAI","Population Hawaiian/Pacific Islander",555649.103027341,13.6332189078524,9044,0,18904
"RACCYOTHER","Population other race",25025812.6040554,614.024893982761,47607.4396780711,0,8158
"RACCYMULT","Population multirace",30952933.2415132,759.450726047385,37580.5330994732,0,7945
"RCHCYWHNHS","Non Hispanic White",196836019.224683,4829.50215238323,108456.952154577,0,7938
"RCHCYBLNHS","Non Hispanic Black",45192702.3463348,1108.83289609968,70622.758124508,0,8140
"RCHCYAMNHS","Non Hispanic American Indian",1300016.13881186,31.8967573376808,8429.38529594988,0,9741
"RCHCYASNHS","Non Hispanic Asian",22590407.9662116,554.270627529299,56063.9657489806,0,8476
"RCHCYHANHS","Non Hispanic Hawaiian/Pacific Islander",429445.078029089,10.5367195335547,8758,0,21186
"RCHCYOTNHS","Non Hispanic Other Race",768331.799856035,18.8515297950299,2821.44949795306,0,11084
"RCHCYMUNHS","Non Hispanic Multiple Race",9124486.21618813,223.875315067059,17822.5986030996,0,7957
"RCHCYWHHIS","Hispanic White",16060997.5511134,394.067216701755,29186.5673395395,0,8066
"RCHCYBLHIS","Hispanic Black",1688077.07063689,41.4180894235809,7246.00829768181,0,18314
"RCHCYAMHIS","Hispanic American Indian",1436553.04467585,35.2467807904373,3216.18000139855,0,13289
"RCHCYASHIS","Hispanic Asian",382214.987153745,9.37789795995154,1575.78550239484,0,23771
"RCHCYHAHIS","Hispanic Hawaiian/Pacific Islander",126204.024998252,3.09649937429771,813.300098748179,0,25182
"RCHCYOTHIS","Hispanic Other Race",24257481.8041994,595.173388723395,47533.6080780178,0,8777
"RCHCYMUHIS","Hispanic Multiple Race",21828448.0253251,535.575435515987,36802.5209994708,0,8144
