VARIABLE,DESCRIPTION,SUM,AVERAGE,MAXIMUM,MINIMUM,ZERO_RECS
"POPCY","Population",342021371,8391.72095590941,153143,0,7942
"CRMCYTOTC","Total Crime",2453439,60.1967514782737,1014,0,7937
"CRMCYPERC","Personal Crime",2892174,70.9614054027529,1111,0,7937
"CRMCYMURD","Murder",2819161,69.1699830703928,2191,0,7937
"CRMCYRAPE","Rape",3695805,90.6790244620556,1837,0,7937
"CRMCYROBB","Robbery",1811663,44.4503520867581,2010,0,7937
"CRMCYASST","Assault",3071336,75.3572637829084,1256,0,7937
"CRMCYPROC","Property Crime",2368961,58.12402777437,1098,0,7937
"CRMCYBURG","Burglary",2693115,66.0773609441323,1441,0,7937
"CRMCYLARC","Larceny",2346955,57.584095983512,1187,0,7937
"CRMCYMVEH","Motor Vehicle Theft",2152965,52.8244227985377,1821,0,7937
"POPPY","Population",344834060,8460.73214417155,166785,0,7942
"CRMPYTOTC","Total Crime",2358258,57.8614225777167,1278,0,7937
"CRMPYPERC","Personal Crime",2810036,68.9460951492995,1480,0,7937
"CRMPYMURD","Murder",2910931,71.4216208258704,1916,0,7937
"CRMPYRAPE","Rape",3416614,83.8288882891282,1884,0,7937
"CRMPYROBB","Robbery",1822926,44.7266972544594,2196,0,7937
"CRMPYASST","Assault",2949232,72.3613612385602,1824,0,7937
"CRMPYPROC","Property Crime",2267973,55.6462202811787,1276,0,7937
"CRMPYBURG","Burglary",2481897,60.8949873641338,925,0,7937
"CRMPYLARC","Larceny",2254708,55.3207547169811,1580,0,7937
"CRMPYMVEH","Motor Vehicle Theft",2166760,53.1628922639056,1696,0,7937
