VARIABLE,DESCRIPTION,SUM,AVERAGE,MAXIMUM,MINIMUM,ZERO_RECS
"HHDCY","Households",132940745.217449,3261.78926852932,49108.6579141654,0,7941
"POPCY","Population",342021407.278321,8391.72184602205,153143.393262448,0,7937
"NRKWRSKI","Weather Risk Scale Index 0-10",52175.0465934903,1.28014933860417,9.83334056399132,0,8030
"NRKHURI","Hurricance Risk Scale Index 0-10",28122.2177537442,.689997245963742,10,0,16635
"NRKTORI","Tornado Risk Scale Index 0-10",52579.2056951117,1.29006564995244,9.68802888416724,0,8672
"NRKHAILI","Hail Risk Scale Index 0-10",25591.3074868628,.627899685621188,9.32903853880029,0,9278
"NRKWINDI","Wind Risk Scale Index 0-10",28596.2240857153,.701627305388408,9.13159002440146,0,8012
"NRKWFRI","Wildfire Risk Scale Index 0-10",67986.794139785,1.66810104128824,9.25353101021202,0,9688
"NRKQUKI","Quake Risk Scale Index 0-10",28053.2714793877,.688305603439598,9.25543117704443,0,7938
"NRKSEALVLI","Sea Level Scale Index 0-10",2908.40676138342,7.13596869588884E-2,9.80739885031984,0,36873
"NRKSTMSGI","Storm Surge Risk Scale Index 0-10",4716.21293275088,.115715409199668,9.87712090532228,0,36150
"NRKTSNMI","Tsunami Risk Scale Index 0-10",6411.65707977853,.157314254723815,9.88337929558146,0,35374
"RSKCYQUAK","Quake Risk",2420685.27347075,59.393117095732,799.933369681326,0,7936
"RSKCYRISK","Weather Risk",2503951.14843576,61.4361005087657,452.861894432393,0,8512
"RSKCYHUFQ","Hurricane Frequency",2621791.05475834,64.3273806894113,600.583514099783,0,15747
"RSKCYHUAS","Hurricane Average Severity",2901889.19306028,71.1997741016336,228.583086455568,0,15271
"RSKCYHUMS","Hurricane Maximum Severity",2837439.86000098,69.6184670118258,287,0,15283
"RSKCYHUNX","Hurricane Index",2478455.76826683,60.81055446345,811.111352133044,0,15844
"RSKCYTOFQ","Tornado Frequency",2500509.30461295,61.351652590057,652.203574135068,0,8761
"RSKCYTOAI","Tornado Average Intensity",3287443.0555036,80.6595935791054,226,0,8298
"RSKCYTOFT","Tornado Fatalities",2671045.95357046,65.5358822673519,748,0,8485
"RSKCYTODM","Tornado Damage",2608618.03895044,64.0041720183144,359.095603348478,0,8506
"RSKCYTONX","Tornado Index",2603336.65891884,63.8745898598728,479.986047923781,0,8669
"RSKCYHAFQ","Hail Frequency",2419592.10965759,59.3662955972616,822.904300921573,0,9109
"RSKCYHAAS","Hail Average Severity",3462574.11501143,84.9565501634426,278.545794768526,0,8567
"RSKCYHAMS","Hail Maximum Severity",3615717.38416997,88.7140217427673,450.22327226686,0,8614
"RSKCYHANX","Hail Index",2456141.45872443,60.2630580936877,897.299741899505,0,9270
"RSKCYWIFQ","Wind Frequency",2322363.33848419,56.9807232741416,591.423825309699,0,8995
"RSKCYWIAS","Wind Average Severity",3302639.01635425,81.0324365472006,161.45762360324,0,8503
"RSKCYWIMS","Wind Maximum Severity",3281672.9529013,80.5180202885713,234.383918223038,0,8507
"RSKCYWINX","Wind Index",2321049.33216651,56.9484832584957,609.956905277072,0,9115
"RSKCYWFRAW","Wildfire Risk Raw",7027900.44892953,172.434194099898,20488.5449245397,0,9720
"RSKCYWFIRE","Wildfire Risk Severity Index",10663958.1278773,261.647278452224,946,0,9681
"TMPAVEANN","Average Annual Temperature",1773762.56628751,43.5204398333418,78.44,0,7936
"TMPMAXANN","Average Annual High Temperature",2133188.12357812,52.339184031654,90.1730790183611,0,7936
"TMPMINANN","Average Annual Low Temperature",1414156.63087956,34.6972699384046,73.085542319951,0,7936
"TMPAVEJAN","Average January Temperature",1058239.67304589,25.964611552516,73.2247175107501,-16.52,7936
"TMPMAXJAN","Average January High Temperature",1376865.17821672,33.7822994385435,80.8902839312702,-9.7520332346991,7936
"TMPMINJAN","Average January Low Temperature",739442.154720689,18.1427032097723,66.2869334796546,-23.63,7937
"TMPAVEJUL","Average July Temperature",2453194.65307825,60.1907562646478,97.3531186203252,0,7936
"TMPMAXJUL","Average July High Temperature",2822755.6575902,69.2581803761367,111.351817404585,0,7936
"TMPMINJUL","Average July Low Temperature",2083430.13831049,51.1183388941898,84.8193402177965,0,7936
"PREANNRAIN","Annual Rainfall",1271210.85141228,31.1900005253645,94.3320218849221,0,7936
"PREANNSNOW","Annual Snowfall",859548.060039686,21.0895811772134,398.619214673441,0,11778
"DEGDAYCOOL","Cooling Degree Days",38935376.8692113,955.305269504903,4922.90104811837,0,8082
"DEGDAYHEAT","Heating Degree Days",169722151.940275,4164.24545330312,19302.2422062027,0,7944
"OZONE","Ozone Index",3319805.46952723,81.4536268500436,141,0,7936
"CARBMONO","Carbon Monoxide Index",3008292.74777164,73.8104558179365,468.302859156512,0,7936
"LEAD","Lead Index",3276715.02012745,80.3963741229102,1745.79774456746,0,7936
"NO2","NO2 Index",2776556.91367991,68.1246635836768,189,0,7936
"PM10","Particulate Matter Index",3081774.84777282,75.6133878296445,388.2473204632,0,7936
"PKZ20ZONE","Plant Hardiness Zone","N/A","N/A","N/A","N/A"
"PKZ20ZONE2","Secondary Plant Hardiness Zone","N/A","N/A","N/A","N/A"
"KC20CLASS","Climate","N/A","N/A","N/A","N/A"
"KCC20CLSS2","Secondary Climate Classification","N/A","N/A","N/A","N/A"
"AREA","Area in Square Miles",3525319.97931074,86.4960615185304,25382.0783522004,0,7936
"SLD22AREA","Total Area in Square Miles",3693576.50130356,90.6243467699673,25574.170959962,0,7942
"SLD22WATER","Water Area",169170.147793599,4.15070166581444,3539.0971552563,0,9227
"SLD22LAND","Land Area",3524406.39550023,86.4736461344119,24543.8187244866,0,7942
"SLD22PROT","Protected Area",1345614.66637881,33.0155474244624,22365.2227424248,0,8185
"SLD22UNPRO","Unprotected Area",2347961.91393451,57.6088012840619,4395.9111547242,0,7970
"NRKELEV","Elevation",38928488,955.136246534338,11504,-171,7961
"NRKSLOPE","Average Slope",90436,2.21890718158844,19,0,11351
"NRKSLPSTD","Standard Deviation of Slope",138146.079999999,3.38950560639888,23.68,0,7936
"NRKTRUGI","Terrain Ruggedness Scale Index",124488.79,3.05441494712564,32.29,0,7979
"NRKMINELEV","Minimum Elevation",28332298.2099999,695.151709154254,9611.41,-364.17,7950
"NRKMAXELEV","Maximum Elevation",64619923.58,1585.49264126408,20193.03,-115.06,7303
"DNI22ANN","Annual Direct Normal Irradiance",140460.13,3.44628235640504,8.45,0,7936
"GHI22ANN","Annual Global Horizonal Irradiance",134244.060000001,3.29376696027678,5.93,0,7936
"LAT22ANN","Annual Latitude Equals Tilt Irradiance",154650.37,3.79444929705328,6.95,0,7936
"DNI22JAN","January Direct Normal Irradiance",104851.05,2.57258998454253,7.3,0,7936
"DNI22FEB","February Direct Normal Irradiance",120130.94,2.94749220992713,7.66,0,7936
"DNI22MAR","March Direct Normal Irradiance",139381.46,3.41981647324386,8.36,0,7936
"DNI22APR","April Direct Normal Irradiance",158116,3.87948082537969,9,0,7936
"DNI22MAY","May Direct Normal Irradiance",159327,3.90919351277081,10,0,7936
"DNI22JUN","June Direct Normal Irradiance",169342,4.15491817356528,11,0,7936
"DNI22JUL","July Direct Normal Irradiance",175266,4.30026743872218,10,0,7936
"DNI22AUG","August Direct Normal Irradiance",164594,4.038422847609,10,0,7936
"DNI22SEP","September Direct Normal Irradiance",154096,3.7808474617857,9,0,7936
"DNI22OCT","October Direct Normal Irradiance",128421,3.15089432490124,8,0,7936
"DNI22NOV","November Direct Normal Irradiance",108626,2.66521088401992,8,0,7936
"DNI22DEC","December Direct Normal Irradiance",98638,2.42014868611527,7,0,7936
"GHI22JAN","January Global Horizonal Irradiance",68142,1.67190911990578,4,0,7938
"GHI22FEB","February Global Horizonal Irradiance",91379,2.24204431140663,5,0,7936
"GHI22MAR","March Global Horizonal Irradiance",129196,3.16990946340506,6,0,7936
"GHI22APR","April Global Horizonal Irradiance",166841,4.09355448143877,7,0,7936
"GHI22MAY","May Global Horizonal Irradiance",187664,4.60446058345806,8,0,7936
"GHI22JUN","June Global Horizonal Irradiance",199486,4.89452118654464,9,0,7936
"GHI22JUL","July Global Horizonal Irradiance",200628,4.92254091321736,8,0,7936
"GHI22AUG","August Global Horizonal Irradiance",178396,4.37706406261501,8,0,7936
"GHI22SEP","September Global Horizonal Irradiance",147132,3.60998110753981,6,0,7936
"GHI22OCT","October Global Horizonal Irradiance",107190,2.62997767254705,5,0,7936
"GHI22NOV","November Global Horizonal Irradiance",76195,1.86949481070736,4,0,7937
"GHI22DEC","December Global Horizonal Irradiance",59884,1.46929361827416,4,0,7938
"LAT22JAN","January Latitude Equals Tilt Irradiance",113415.36,2.78272100498075,6.23,0,7936
"LAT22FEB","February Latitude Equals Tilt Irradiance",134445.56,3.29871089628775,6.71,0,7936
"LAT22MAR","March Latitude Equals Tilt Irradiance",157959.54,3.87564197561155,7.33,0,7936
"LAT22APR","April Latitude Equals Tilt Irradiance",174807.48,4.28901734671346,7.69,0,7936
"LAT22MAY","May Latitude Equals Tilt Irradiance",177188.140000001,4.34742841720443,7.52,0,7936
"LAT22JUN","June Latitude Equals Tilt Irradiance",179756.89,4.4104544004711,7.51,0,7936
"LAT22JUL","July Latitude Equals Tilt Irradiance",184897.250000002,4.53657653899947,7.52,0,7936
"LAT22AUG","August Latitude Equals Tilt Irradiance",183000.83,4.4900466177589,7.6,0,7936
"LAT22SEP","September Latitude Equals Tilt Irradiance",173738.55,4.26279044090587,7.64,0,7936
"LAT22OCT","October Latitude Equals Tilt Irradiance",147314.07,3.61444831562676,7.08,0,7936
"LAT22NOV","November Latitude Equals Tilt Irradiance",121446.36,2.97976691120544,6.47,0,7936
"LAT22DEC","December Latitude Equals Tilt Irradiance",107785,2.64457639178546,6,0,7936
"SLD22WALK","Walkability Index",193829,4.75572294329808,20,0,7942
"SLD22SLC","Smart Location Coefficient",1317430,32.324017960105,100,0,8111
